"timestamp";"severity";"category";"thread";"logmessage"
"2019-06-23 06:49:39,173";"DEBUG";"org.jboss.as.config";"MSC service thread 1-7";"Configured system properties:"
"2019-06-23 06:49:39,189";"DEBUG";"org.jboss.as.config";"MSC service thread 1-7";"VM Arguments: -Dprogram.name=standalone.bat -Xms64M -Xmx512M -XX:MetaspaceSize=96M -XX:MaxMetaspaceSize=256m -Djava.net.preferIPv4Stack=true -Djboss.modules.system.pkgs=org.jboss.byteman -agentlib:jdwp=transport=dt_shmem,address=jboss,server=y,suspend=n -Dorg.jboss.boot.log.file=g:\Programms\wildfly-10.1.0.Final\standalone\log\server.log -Dlogging.configuration=file:g:\Programms\wildfly-10.1.0.Final\standalone\configuration/logging.properties "
"2019-06-23 06:49:40,683";"INFO";"org.jboss.as.server.deployment.scanner";"DeploymentScanner-threads - 1";"WFLYDS0004: Found csvcompare.war in deployment directory. To trigger deployment create a file called csvcompare.war.dodeploy"
"2019-06-23 06:49:41,025";"INFO";"org.jboss.as.server";"Controller Boot Thread";"WFLYSRV0039: Creating http management service using socket-binding (management-http)"
"2019-06-23 06:49:41,041";"INFO";"org.xnio";"MSC service thread 1-3";"XNIO version 3.4.0.Final"
"2019-06-23 06:49:41,056";"INFO";"org.xnio.nio";"MSC service thread 1-3";"XNIO NIO Implementation Version 3.4.0.Final"
"2019-06-23 06:49:41,119";"INFO";"org.wildfly.extension.io";"ServerService Thread Pool -- 37";"WFLYIO001: Worker 'default' has auto-configured to 8 core threads with 64 task threads based on your 4 available processors"
"2019-06-23 06:49:41,119";"INFO";"org.jboss.as.clustering.infinispan";"ServerService Thread Pool -- 38";"WFLYCLINF0001: Activating Infinispan subsystem."
"2019-06-23 06:49:41,135";"INFO";"org.jboss.as.naming";"ServerService Thread Pool -- 46";"WFLYNAM0001: Activating Naming Subsystem"
"2019-06-23 06:49:41,150";"WARN";"org.jboss.as.txn";"ServerService Thread Pool -- 54";"WFLYTX0013: Node identifier property is set to the default value. Please make sure it is unique."
"2019-06-23 06:49:41,166";"INFO";"org.jboss.as.security";"ServerService Thread Pool -- 53";"WFLYSEC0002: Activating Security Subsystem"
"2019-06-23 06:49:41,166";"INFO";"org.jboss.as.webservices";"ServerService Thread Pool -- 56";"WFLYWS0002: Activating WebServices Extension"
"2019-06-23 06:49:41,181";"INFO";"org.jboss.as.jsf";"ServerService Thread Pool -- 44";"WFLYJSF0007: Activated the following JSF Implementations: [main]"
"2019-06-23 06:49:41,197";"INFO";"org.jboss.as.connector";"MSC service thread 1-1";"WFLYJCA0009: Starting JCA Subsystem (WildFly/IronJacamar 1.3.4.Final)"
"2019-06-23 06:49:41,197";"INFO";"org.jboss.remoting";"MSC service thread 1-3";"JBoss Remoting version 4.0.21.Final"
"2019-06-23 06:49:41,197";"INFO";"org.wildfly.extension.undertow";"MSC service thread 1-6";"WFLYUT0003: Undertow 1.4.0.Final starting"
"2019-06-23 06:49:41,228";"INFO";"org.jboss.as.connector.subsystems.datasources";"ServerService Thread Pool -- 33";"WFLYJCA0004: Deploying JDBC-compliant driver class org.h2.Driver (version 1.3)"
"2019-06-23 06:49:41,306";"INFO";"org.jboss.as.connector.deployers.jdbc";"MSC service thread 1-2";"WFLYJCA0018: Started Driver service with driver-name = h2"
"2019-06-23 06:49:41,416";"INFO";"org.wildfly.extension.undertow";"ServerService Thread Pool -- 55";"WFLYUT0014: Creating file handler for path 'g:\Programms\wildfly-10.1.0.Final/welcome-content' with options [directory-listing: 'false', follow-symlink: 'false', case-sensitive: 'true', safe-symlink-paths: '[]']"
"2019-06-23 06:49:41,416";"INFO";"org.wildfly.extension.undertow";"MSC service thread 1-1";"WFLYUT0012: Started server default-server."
"2019-06-23 06:49:41,525";"INFO";"org.jboss.as.naming";"MSC service thread 1-6";"WFLYNAM0003: Starting Naming Service"
"2019-06-23 06:49:41,530";"INFO";"org.jboss.as.mail.extension";"MSC service thread 1-5";"WFLYMAIL0001: Bound mail session [java:jboss/mail/Default]"
"2019-06-23 06:49:41,608";"INFO";"org.jboss.as.security";"MSC service thread 1-8";"WFLYSEC0001: Current PicketBox version=4.9.6.Final"
"2019-06-23 06:49:41,687";"INFO";"org.jboss.as.ejb3";"MSC service thread 1-3";"WFLYEJB0481: Strict pool slsb-strict-max-pool is using a max instance size of 64 (per class), which is derived from thread worker pool sizing."
"2019-06-23 06:49:41,796";"INFO";"org.jboss.as.ejb3";"MSC service thread 1-5";"WFLYEJB0482: Strict pool mdb-strict-max-pool is using a max instance size of 16 (per class), which is derived from the number of CPUs on this host."
"2019-06-23 06:49:41,827";"INFO";"org.wildfly.extension.undertow";"MSC service thread 1-1";"WFLYUT0018: Host default-host starting"
"2019-06-23 06:49:42,078";"WARN";"org.jboss.as.domain.management.security";"MSC service thread 1-5";"WFLYDM0111: Keystore g:\Programms\wildfly-10.1.0.Final\standalone\configuration\application.keystore not found, it will be auto generated on first use with a self signed certificate for host localhost"
"2019-06-23 06:49:42,109";"INFO";"org.jboss.as.server.deployment.scanner";"MSC service thread 1-8";"WFLYDS0013: Started FileSystemDeploymentService for directory g:\Programms\wildfly-10.1.0.Final\standalone\deployments"
"2019-06-23 06:49:42,125";"INFO";"org.jboss.as.server.deployment";"MSC service thread 1-3";"WFLYSRV0027: Starting deployment of ""csvcompare.war"" (runtime-name: ""csvcompare.war"")"
"2019-06-23 06:49:42,125";"INFO";"org.jboss.as.server.deployment";"MSC service thread 1-6";"WFLYSRV0027: Starting deployment of ""eebatch.war"" (runtime-name: ""eebatch.war"")"
"2019-06-23 06:49:42,297";"INFO";"org.infinispan.factories.GlobalComponentRegistry";"MSC service thread 1-6";"ISPN000128: Infinispan version: Infinispan 'Chakra' 8.2.4.Final"
"2019-06-23 06:49:42,344";"INFO";"org.infinispan.configuration.cache.EvictionConfigurationBuilder";"ServerService Thread Pool -- 59";"ISPN000152: Passivation configured without an eviction policy being selected. Only manually evicted entities will be passivated."
"2019-06-23 06:49:42,344";"INFO";"org.infinispan.configuration.cache.EvictionConfigurationBuilder";"ServerService Thread Pool -- 58";"ISPN000152: Passivation configured without an eviction policy being selected. Only manually evicted entities will be passivated."
"2019-06-23 06:49:42,344";"INFO";"org.infinispan.configuration.cache.EvictionConfigurationBuilder";"ServerService Thread Pool -- 60";"ISPN000152: Passivation configured without an eviction policy being selected. Only manually evicted entities will be passivated."
"2019-06-23 06:49:42,375";"INFO";"org.infinispan.configuration.cache.EvictionConfigurationBuilder";"ServerService Thread Pool -- 59";"ISPN000152: Passivation configured without an eviction policy being selected. Only manually evicted entities will be passivated."
